,hostname,ip,interface
1,s0-r4,192.168.1.7,GigabitEthernet0/0/0/1
2,s0-r4,192.168.1.15,GigabitEthernet0/0/0/4
4,s0-r1,192.168.1.17,GigabitEthernet0/0/0/4
5,s0-r3,192.168.1.29,GigabitEthernet0/0/0/4
6,s0-r2,192.168.1.11,GigabitEthernet0/0/0/1
7,s0-r6,192.168.1.24,GigabitEthernet0/0/0/3
8,s0-r6,192.168.1.27,GigabitEthernet0/0/0/4
9,s0-r6,192.168.1.32,GigabitEthernet0/0/0/5
10,s0-r6,192.168.1.43,GigabitEthernet0/0/0/7
11,s0-r3,192.168.1.10,GigabitEthernet0/0/0/3
12,s0-r3,192.168.1.30,GigabitEthernet0/0/0/5
15,s0-r2,192.168.1.26,GigabitEthernet0/0/0/5
16,s0-r4,10.0.20.2,GigabitEthernet0/0/0/2
17,s0-r4,192.168.1.8,GigabitEthernet0/0/0/3
20,s0-r3,192.168.1.5,GigabitEthernet0/0/0/0
21,s0-r3,192.168.1.6,GigabitEthernet0/0/0/1
22,s0-r3,192.168.1.30,GigabitEthernet0/0/0/5
25,s0-r6,192.168.1.23,GigabitEthernet0/0/0/2
27,s0-r4,192.168.1.7,GigabitEthernet0/0/0/1
28,s0-r4,192.168.1.8,GigabitEthernet0/0/0/3
29,s0-r4,192.168.1.15,GigabitEthernet0/0/0/4
33,s0-r6,10.0.21.2,GigabitEthernet0/0/0/0
34,s0-r6,192.168.1.35,GigabitEthernet0/0/0/6
36,s0-r1,192.168.1.1,GigabitEthernet0/0/0/0
37,s0-r1,192.168.1.2,GigabitEthernet0/0/0/1
41,s0-r2,192.168.1.12,GigabitEthernet0/0/0/2
42,s0-r2,10.0.23.2,GigabitEthernet0/0/0/3
43,s0-r2,192.168.1.25,GigabitEthernet0/0/0/4
45,s0-r2,192.168.1.45,GigabitEthernet0/0/0/6
47,s0-r6,10.0.21.2,GigabitEthernet0/0/0/0
48,s0-r6,192.168.1.27,GigabitEthernet0/0/0/4
53,s0-r3,192.168.1.5,GigabitEthernet0/0/0/0
54,s0-r3,192.168.1.29,GigabitEthernet0/0/0/4
56,s0-r2,192.168.1.45,GigabitEthernet0/0/0/6
58,s0-r6,192.168.1.20,GigabitEthernet0/0/0/1
59,s0-r6,192.168.1.43,GigabitEthernet0/0/0/7
60,s0-r4,192.168.1.0,GigabitEthernet0/0/0/0
62,s0-r1,192.168.1.13,GigabitEthernet0/0/0/2
63,s0-r1,192.168.1.14,GigabitEthernet0/0/0/3
64,s0-r3,192.168.1.9,GigabitEthernet0/0/0/2
66,s0-r2,10.0.23.2,GigabitEthernet0/0/0/3
67,s0-r2,192.168.1.47,GigabitEthernet0/0/0/7
68,s0-r6,192.168.1.20,GigabitEthernet0/0/0/1
69,s0-r6,192.168.1.35,GigabitEthernet0/0/0/6
71,s0-r4,10.0.22.2,GigabitEthernet0/0/0/5
73,s0-r4,100.100.100.1,GigabitEthernet0/0/0/4.100
74,s0-r4,10.0.22.2,GigabitEthernet0/0/0/5
76,s0-r1,192.168.1.18,GigabitEthernet0/0/0/5
77,s0-r3,192.168.1.10,GigabitEthernet0/0/0/3
78,s0-r3,192.168.1.6,GigabitEthernet0/0/0/1
79,s0-r3,192.168.1.9,GigabitEthernet0/0/0/2
80,s0-r2,192.168.1.3,GigabitEthernet0/0/0/0
81,s0-r2,192.168.1.47,GigabitEthernet0/0/0/7
82,s0-r6,192.168.1.23,GigabitEthernet0/0/0/2
84,s0-r2,192.168.1.3,GigabitEthernet0/0/0/0
85,s0-r2,192.168.1.11,GigabitEthernet0/0/0/1
86,s0-r2,192.168.1.12,GigabitEthernet0/0/0/2
87,s0-r2,192.168.1.25,GigabitEthernet0/0/0/4
88,s0-r2,192.168.1.26,GigabitEthernet0/0/0/5
90,s0-r6,192.168.1.24,GigabitEthernet0/0/0/3
91,s0-r6,192.168.1.32,GigabitEthernet0/0/0/5
